Time resolution is 1 ps
Time=0 | Saved Address=0000 | Address_Out=0000 | test_bus=31 | Bus_Out=00 | reading data=1 | writing data=0 | sending address=1
Time=685000 | Saved Address=000e | Address_Out=0000 | test_bus=09 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=695000 | Saved Address=000e | Address_Out=0000 | test_bus=38 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=715000 | Saved Address=000e | Address_Out=000f | test_bus=38 | Bus_Out=00 | reading data=1 | writing data=0 | sending address=1
Time=725000 | Saved Address=000f | Address_Out=0000 | test_bus=38 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=735000 | Saved Address=000f | Address_Out=0000 | test_bus=fd | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=755000 | Saved Address=000f | Address_Out=0000 | test_bus=fd | Bus_Out=00 | reading data=1 | writing data=0 | sending address=0
Time=765000 | Saved Address=000f | Address_Out=0010 | test_bus=fd | Bus_Out=fd | reading data=0 | writing data=0 | sending address=0
Time=775000 | Saved Address=000f | Address_Out=0000 | test_bus=fd | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=795000 | Saved Address=000f | Address_Out=000d | test_bus=fd | Bus_Out=00 | reading data=0 | writing data=0 | sending address=1
Time=805000 | Saved Address=000d | Address_Out=0000 | test_bus=fd | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=815000 | Saved Address=000d | Address_Out=0000 | test_bus=09 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=835000 | Saved Address=000d | Address_Out=0000 | test_bus=09 | Bus_Out=00 | reading data=1 | writing data=0 | sending address=0
Time=845000 | Saved Address=000d | Address_Out=abcd | test_bus=09 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=855000 | Saved Address=000d | Address_Out=0000 | test_bus=09 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=875000 | Saved Address=000d | Address_Out=000e | test_bus=09 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=1
Time=885000 | Saved Address=000e | Address_Out=0000 | test_bus=09 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=895000 | Saved Address=000e | Address_Out=0000 | test_bus=38 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=915000 | Saved Address=000e | Address_Out=000f | test_bus=38 | Bus_Out=00 | reading data=1 | writing data=0 | sending address=1
Time=925000 | Saved Address=000f | Address_Out=0000 | test_bus=38 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=935000 | Saved Address=000f | Address_Out=0000 | test_bus=fd | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=955000 | Saved Address=000f | Address_Out=0010 | test_bus=fd | Bus_Out=00 | reading data=1 | writing data=0 | sending address=1
Time=965000 | Saved Address=0010 | Address_Out=0000 | test_bus=fd | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=975000 | Saved Address=0010 | Address_Out=0000 | test_bus=11 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=995000 | Saved Address=0010 | Address_Out=0011 | test_bus=11 | Bus_Out=00 | reading data=1 | writing data=0 | sending address=1
Time=0 | Saved Address=0000 | Address_Out=0000 | test_bus=31 | Bus_Out=00 | reading data=1 | writing data=0 | sending address=1
Time=5000 | Saved Address=0000 | Address_Out=0000 | test_bus=31 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=35000 | Saved Address=0000 | Address_Out=0001 | test_bus=31 | Bus_Out=00 | reading data=1 | writing data=0 | sending address=1
Time=45000 | Saved Address=0001 | Address_Out=0000 | test_bus=31 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=55000 | Saved Address=0001 | Address_Out=0000 | test_bus=fd | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=75000 | Saved Address=0001 | Address_Out=0002 | test_bus=fd | Bus_Out=00 | reading data=1 | writing data=0 | sending address=1
Time=85000 | Saved Address=0002 | Address_Out=0000 | test_bus=fd | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=95000 | Saved Address=0002 | Address_Out=0000 | test_bus=ff | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=115000 | Saved Address=0002 | Address_Out=0003 | test_bus=ff | Bus_Out=00 | reading data=1 | writing data=0 | sending address=1
Time=125000 | Saved Address=0003 | Address_Out=0000 | test_bus=ff | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=135000 | Saved Address=0003 | Address_Out=fffd | test_bus=08 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=145000 | Saved Address=0003 | Address_Out=0000 | test_bus=08 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=155000 | Saved Address=0003 | Address_Out=0004 | test_bus=08 | Bus_Out=00 | reading data=1 | writing data=0 | sending address=1
Time=165000 | Saved Address=0004 | Address_Out=0000 | test_bus=08 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=175000 | Saved Address=0004 | Address_Out=0000 | test_bus=00 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=195000 | Saved Address=0004 | Address_Out=0005 | test_bus=00 | Bus_Out=00 | reading data=1 | writing data=0 | sending address=1
Time=205000 | Saved Address=0005 | Address_Out=0000 | test_bus=00 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=215000 | Saved Address=0005 | Address_Out=0000 | test_bus=80 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=235000 | Saved Address=0005 | Address_Out=8000 | test_bus=80 | Bus_Out=00 | reading data=1 | writing data=0 | sending address=1
Time=245000 | Saved Address=8000 | Address_Out=0000 | test_bus=80 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=255000 | Saved Address=8000 | Address_Out=0000 | test_bus=31 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=265000 | Saved Address=8000 | Address_Out=fffd | test_bus=31 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=275000 | Saved Address=8000 | Address_Out=8001 | test_bus=31 | Bus_Out=fd | reading data=0 | writing data=1 | sending address=1
Time=285000 | Saved Address=8001 | Address_Out=0000 | test_bus=31 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=295000 | Saved Address=8001 | Address_Out=0000 | test_bus=fd | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=305000 | Saved Address=8001 | Address_Out=fffd | test_bus=fd | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=315000 | Saved Address=8001 | Address_Out=0006 | test_bus=fd | Bus_Out=ff | reading data=0 | writing data=1 | sending address=1
Time=325000 | Saved Address=0006 | Address_Out=0000 | test_bus=fd | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=335000 | Saved Address=0006 | Address_Out=0000 | test_bus=00 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=355000 | Saved Address=0006 | Address_Out=0007 | test_bus=00 | Bus_Out=00 | reading data=1 | writing data=0 | sending address=1
Time=365000 | Saved Address=0007 | Address_Out=0000 | test_bus=00 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=375000 | Saved Address=0007 | Address_Out=0000 | test_bus=01 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=395000 | Saved Address=0007 | Address_Out=0008 | test_bus=01 | Bus_Out=00 | reading data=1 | writing data=0 | sending address=1
Time=405000 | Saved Address=0008 | Address_Out=0000 | test_bus=01 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=415000 | Saved Address=0008 | Address_Out=0000 | test_bus=cd | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=435000 | Saved Address=0008 | Address_Out=0009 | test_bus=cd | Bus_Out=00 | reading data=1 | writing data=0 | sending address=1
Time=445000 | Saved Address=0009 | Address_Out=0000 | test_bus=cd | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=455000 | Saved Address=0009 | Address_Out=0000 | test_bus=ab | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=475000 | Saved Address=0009 | Address_Out=000a | test_bus=ab | Bus_Out=00 | reading data=1 | writing data=0 | sending address=1
Time=485000 | Saved Address=000a | Address_Out=0000 | test_bus=ab | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=495000 | Saved Address=000a | Address_Out=abcd | test_bus=21 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=505000 | Saved Address=000a | Address_Out=0000 | test_bus=21 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=515000 | Saved Address=000a | Address_Out=000b | test_bus=21 | Bus_Out=00 | reading data=1 | writing data=0 | sending address=1
Time=525000 | Saved Address=000b | Address_Out=0000 | test_bus=21 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=535000 | Saved Address=000b | Address_Out=0000 | test_bus=33 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=555000 | Saved Address=000b | Address_Out=000c | test_bus=33 | Bus_Out=00 | reading data=1 | writing data=0 | sending address=1
Time=565000 | Saved Address=000c | Address_Out=0000 | test_bus=33 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=575000 | Saved Address=000c | Address_Out=0000 | test_bus=54 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=595000 | Saved Address=000c | Address_Out=000d | test_bus=54 | Bus_Out=00 | reading data=1 | writing data=0 | sending address=1
Time=605000 | Saved Address=000d | Address_Out=0000 | test_bus=54 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=615000 | Saved Address=000d | Address_Out=5433 | test_bus=09 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=625000 | Saved Address=000d | Address_Out=0000 | test_bus=09 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=635000 | Saved Address=000d | Address_Out=0000 | test_bus=09 | Bus_Out=00 | reading data=1 | writing data=0 | sending address=0
Time=645000 | Saved Address=000d | Address_Out=abcd | test_bus=09 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=655000 | Saved Address=000d | Address_Out=0000 | test_bus=09 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=675000 | Saved Address=000d | Address_Out=000e | test_bus=09 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=1
Time=685000 | Saved Address=000e | Address_Out=0000 | test_bus=09 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=695000 | Saved Address=000e | Address_Out=0000 | test_bus=38 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=715000 | Saved Address=000e | Address_Out=000f | test_bus=38 | Bus_Out=00 | reading data=1 | writing data=0 | sending address=1
Time=725000 | Saved Address=000f | Address_Out=0000 | test_bus=38 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=735000 | Saved Address=000f | Address_Out=0000 | test_bus=fd | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=755000 | Saved Address=000f | Address_Out=0000 | test_bus=fd | Bus_Out=00 | reading data=1 | writing data=0 | sending address=0
Time=765000 | Saved Address=000f | Address_Out=0010 | test_bus=fd | Bus_Out=fd | reading data=0 | writing data=0 | sending address=0
Time=775000 | Saved Address=000f | Address_Out=0000 | test_bus=fd | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=795000 | Saved Address=000f | Address_Out=000d | test_bus=fd | Bus_Out=00 | reading data=0 | writing data=0 | sending address=1
Time=805000 | Saved Address=000d | Address_Out=0000 | test_bus=fd | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=815000 | Saved Address=000d | Address_Out=0000 | test_bus=09 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=835000 | Saved Address=000d | Address_Out=0000 | test_bus=09 | Bus_Out=00 | reading data=1 | writing data=0 | sending address=0
Time=845000 | Saved Address=000d | Address_Out=abcd | test_bus=09 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=855000 | Saved Address=000d | Address_Out=0000 | test_bus=09 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=875000 | Saved Address=000d | Address_Out=000e | test_bus=09 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=1
Time=885000 | Saved Address=000e | Address_Out=0000 | test_bus=09 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=895000 | Saved Address=000e | Address_Out=0000 | test_bus=38 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=915000 | Saved Address=000e | Address_Out=000f | test_bus=38 | Bus_Out=00 | reading data=1 | writing data=0 | sending address=1
Time=925000 | Saved Address=000f | Address_Out=0000 | test_bus=38 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=935000 | Saved Address=000f | Address_Out=0000 | test_bus=fd | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=955000 | Saved Address=000f | Address_Out=0010 | test_bus=fd | Bus_Out=00 | reading data=1 | writing data=0 | sending address=1
Time=965000 | Saved Address=0010 | Address_Out=0000 | test_bus=fd | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=975000 | Saved Address=0010 | Address_Out=0000 | test_bus=11 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=995000 | Saved Address=0010 | Address_Out=0011 | test_bus=11 | Bus_Out=00 | reading data=1 | writing data=0 | sending address=1
Time=1005000 | Saved Address=0011 | Address_Out=0000 | test_bus=11 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=1015000 | Saved Address=0011 | Address_Out=0000 | test_bus=50 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=1035000 | Saved Address=0011 | Address_Out=0012 | test_bus=50 | Bus_Out=00 | reading data=1 | writing data=0 | sending address=1
Time=1045000 | Saved Address=0012 | Address_Out=0000 | test_bus=50 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=1055000 | Saved Address=0012 | Address_Out=0000 | test_bus=00 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=1075000 | Saved Address=0012 | Address_Out=0013 | test_bus=00 | Bus_Out=00 | reading data=1 | writing data=0 | sending address=1
Time=1085000 | Saved Address=0013 | Address_Out=0000 | test_bus=00 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=1095000 | Saved Address=0013 | Address_Out=0050 | test_bus=1a | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=1105000 | Saved Address=0013 | Address_Out=0000 | test_bus=1a | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=1115000 | Saved Address=0013 | Address_Out=0050 | test_bus=1a | Bus_Out=00 | reading data=1 | writing data=0 | sending address=1
Time=1125000 | Saved Address=0050 | Address_Out=0000 | test_bus=1a | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=1135000 | Saved Address=0050 | Address_Out=0000 | test_bus=aa | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=1155000 | Saved Address=0050 | Address_Out=0014 | test_bus=aa | Bus_Out=00 | reading data=1 | writing data=0 | sending address=1
Time=1165000 | Saved Address=0014 | Address_Out=0000 | test_bus=aa | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=1175000 | Saved Address=0014 | Address_Out=0000 | test_bus=02 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=1195000 | Saved Address=0014 | Address_Out=abcd | test_bus=02 | Bus_Out=00 | reading data=1 | writing data=0 | sending address=1
Time=1205000 | Saved Address=abcd | Address_Out=0000 | test_bus=02 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=1215000 | Saved Address=abcd | Address_Out=0000 | test_bus=1f | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=1235000 | Saved Address=abcd | Address_Out=0015 | test_bus=1f | Bus_Out=aa | reading data=0 | writing data=1 | sending address=1
Time=1245000 | Saved Address=0015 | Address_Out=0000 | test_bus=1f | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=1255000 | Saved Address=0015 | Address_Out=0000 | test_bus=22 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=1275000 | Saved Address=0015 | Address_Out=abcd | test_bus=22 | Bus_Out=00 | reading data=1 | writing data=0 | sending address=1
Time=1285000 | Saved Address=abcd | Address_Out=0000 | test_bus=22 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=1295000 | Saved Address=abcd | Address_Out=0000 | test_bus=aa | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=1315000 | Saved Address=abcd | Address_Out=0016 | test_bus=aa | Bus_Out=aa | reading data=0 | writing data=1 | sending address=1
Time=1325000 | Saved Address=0016 | Address_Out=0000 | test_bus=aa | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=1335000 | Saved Address=0016 | Address_Out=0000 | test_bus=3a | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=1355000 | Saved Address=0016 | Address_Out=abce | test_bus=3a | Bus_Out=00 | reading data=1 | writing data=0 | sending address=1
Time=1365000 | Saved Address=abce | Address_Out=0000 | test_bus=3a | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=1375000 | Saved Address=abce | Address_Out=0000 | test_bus=99 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=1395000 | Saved Address=abce | Address_Out=0017 | test_bus=99 | Bus_Out=00 | reading data=1 | writing data=0 | sending address=1
Time=1405000 | Saved Address=0017 | Address_Out=0000 | test_bus=99 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=1415000 | Saved Address=0017 | Address_Out=0000 | test_bus=13 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=1435000 | Saved Address=0017 | Address_Out=0000 | test_bus=13 | Bus_Out=00 | reading data=1 | writing data=0 | sending address=0
Time=1445000 | Saved Address=0017 | Address_Out=0050 | test_bus=13 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=1455000 | Saved Address=0017 | Address_Out=0000 | test_bus=13 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=1475000 | Saved Address=0017 | Address_Out=0018 | test_bus=13 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=1
Time=1485000 | Saved Address=0018 | Address_Out=0000 | test_bus=13 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=1495000 | Saved Address=0018 | Address_Out=0000 | test_bus=0b | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=1515000 | Saved Address=0018 | Address_Out=0000 | test_bus=0b | Bus_Out=00 | reading data=1 | writing data=0 | sending address=0
Time=1525000 | Saved Address=0018 | Address_Out=abcd | test_bus=0b | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=1535000 | Saved Address=0018 | Address_Out=0000 | test_bus=0b | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=1555000 | Saved Address=0018 | Address_Out=0019 | test_bus=0b | Bus_Out=00 | reading data=0 | writing data=0 | sending address=1
Time=1565000 | Saved Address=0019 | Address_Out=0000 | test_bus=0b | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=1575000 | Saved Address=0019 | Address_Out=0000 | test_bus=3d | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=1595000 | Saved Address=0019 | Address_Out=001a | test_bus=3d | Bus_Out=00 | reading data=1 | writing data=0 | sending address=1
Time=1605000 | Saved Address=001a | Address_Out=0000 | test_bus=3d | Bus_Out=99 | reading data=0 | writing data=0 | sending address=0
Time=1615000 | Saved Address=001a | Address_Out=0000 | test_bus=01 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=1635000 | Saved Address=001a | Address_Out=001b | test_bus=01 | Bus_Out=00 | reading data=1 | writing data=0 | sending address=1
Time=1645000 | Saved Address=001b | Address_Out=0000 | test_bus=01 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=1655000 | Saved Address=001b | Address_Out=0000 | test_bus=00 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=1675000 | Saved Address=001b | Address_Out=001c | test_bus=00 | Bus_Out=00 | reading data=1 | writing data=0 | sending address=1
Time=1685000 | Saved Address=001c | Address_Out=0000 | test_bus=00 | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
Time=1695000 | Saved Address=001c | Address_Out=0000 | test_bus=0f | Bus_Out=00 | reading data=0 | writing data=0 | sending address=0
